TestSet,Experiment,Kind,Family,Members,Weights,Mode,Fusion,Feature,PTM,Duration,EER (%),MinDCF,Used Pairs,Missing Pairs,BankAlias,ResolvedMembers
full_length,ENS_representation_ptm_train_vi_full_ptm_mfbe_only__wav2vec2_wavlm__eq,ensemble,representation_ptm,train_vi_full__wav2vec2__mfbe_only | train_vi_full__wavlm__mfbe_only,"0.5000,0.5000",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.5962321930308986,9895,0,,Mode3_film_train_vi_full_wav2vec2_mfbe_only | Mode3_film_train_vi_full_wavlm_mfbe_only
full_length,ENS_representation_hc_train_vi_full_hc_wavlm__mfcc_pitch_mfbe_pitch_mfbe_pitch__a45,ensemble,representation_hc,train_vi_full__wavlm__mfcc_pitch | train_vi_full__wavlm__mfbe_pitch | train_vi_full__wavlm__mfbe_only | train_vi_full__wavlm__pitch_only,"0.4500,0.2500,0.1500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6078567839943392,9895,0,,Mode3_film_train_vi_full_wavlm_mfcc_pitch | Mode3_film_train_vi_full_wavlm_mfbe_pitch | Mode3_film_train_vi_full_wavlm_mfbe_only | Mode3_film_train_vi_full_wavlm_pitch_only
full_length,ENS_representation_ptm_train_vi_3s_ptm_pitch_only__wav2vec2_wavlm__a70,ensemble,representation_ptm,train_vi_3s__wav2vec2__pitch_only | train_vi_3s__wavlm__pitch_only,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6119631482634661,9895,0,,Mode3_film_train_vi_3s_wav2vec2_pitch_only | Mode3_film_train_vi_3s_wavlm_pitch_only
full_length,ENS_representation_hc_train_vi_3s_hc_wav2vec2__mfcc_pitch_mfbe_pitch_mfcc_mfbe__a50,ensemble,representation_hc,train_vi_3s__wav2vec2__mfcc_pitch | train_vi_3s__wav2vec2__mfbe_pitch | train_vi_3s__wav2vec2__mfcc_only | train_vi_3s__wav2vec2__mfbe_only,"0.5000,0.2000,0.1500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6211421640993592,9895,0,,Mode3_film_train_vi_3s_wav2vec2_mfcc_pitch | Mode3_film_train_vi_3s_wav2vec2_mfbe_pitch | Mode3_film_train_vi_3s_wav2vec2_mfcc_only | Mode3_film_train_vi_3s_wav2vec2_mfbe_only
full_length,ENS_representation_hc_train_vi_full_hc_wavlm__mfcc_pitch_mfbe_pitch_mfcc__a50,ensemble,representation_hc,train_vi_full__wavlm__mfcc_pitch | train_vi_full__wavlm__mfbe_pitch | train_vi_full__wavlm__mfcc_only,"0.5000,0.3000,0.2000",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6294451767796435,9895,0,,Mode3_film_train_vi_full_wavlm_mfcc_pitch | Mode3_film_train_vi_full_wavlm_mfbe_pitch | Mode3_film_train_vi_full_wavlm_mfcc_only
full_length,ENS_representation_hc_train_vi_3s_hc_wav2vec2__mfbe_pitch_mfcc_pitch__a60,ensemble,representation_hc,train_vi_3s__wav2vec2__mfbe_pitch | train_vi_3s__wav2vec2__mfcc_only | train_vi_3s__wav2vec2__pitch_only,"0.6000,0.2500,0.1500",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6477522761208488,9895,0,,Mode3_film_train_vi_3s_wav2vec2_mfbe_pitch | Mode3_film_train_vi_3s_wav2vec2_mfcc_only | Mode3_film_train_vi_3s_wav2vec2_pitch_only
full_length,ENS_representation_hc_train_vi_3s_hc_wavlm__mfcc_pitch_pitch__a60,ensemble,representation_hc,train_vi_3s__wavlm__mfcc_pitch | train_vi_3s__wavlm__pitch_only,"0.6000,0.4000",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6493621329318452,9895,0,,Mode3_film_train_vi_3s_wavlm_mfcc_pitch | Mode3_film_train_vi_3s_wavlm_pitch_only
full_length,ENS_representation_hc_train_vi_3s_hc_wav2vec2__mfbe_pitch_pitch__a70,ensemble,representation_hc,train_vi_3s__wav2vec2__mfbe_pitch | train_vi_3s__wav2vec2__pitch_only,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,5.592811713821335,0.6743804449707458,9895,0,,Mode3_film_train_vi_3s_wav2vec2_mfbe_pitch | Mode3_film_train_vi_3s_wav2vec2_pitch_only
full_length,ENS_representation_ptm_train_vi_5s_ptm_pitch_only__wav2vec2_hubert__a70,ensemble,representation_ptm,train_vi_5s__wav2vec2__pitch_only | train_vi_5s__hubert__pitch_only,"0.7000,0.3000",ensemble,ensemble,ensemble,ensemble,multi,5.599524024198567,0.5752225517822082,9895,0,,Mode3_film_train_vi_5s_wav2vec2_pitch_only | Mode3_film_train_vi_5s_hubert_pitch_only
full_length,ENS_representation_ptm_train_vi_3s_ptm_pitch_only__wav2vec2_hubert__a60,ensemble,representation_ptm,train_vi_3s__wav2vec2__pitch_only | train_vi_3s__hubert__pitch_only,"0.6000,0.4000",ensemble,ensemble,ensemble,ensemble,multi,5.599524024198567,0.5878347250263367,9895,0,,Mode3_film_train_vi_3s_wav2vec2_pitch_only | Mode3_film_train_vi_3s_hubert_pitch_only
