alias,picked_experiment,candidate_count,duration,ptm,feature,fusion,best_val_eer
train_vi_5s__wavlm__mfbe_only,Mode3_film_train_vi_5s_wavlm_mfbe_only,1,train_vi_5s,wavlm,mfbe_only,film,4.0200000000000005
train_vi_5s__wavlm__pitch_only,Mode3_film_train_vi_5s_wavlm_pitch_only,1,train_vi_5s,wavlm,pitch_only,film,5.530000000000001
train_vi_5s__hubert__mfcc_pitch,Mode3_film_train_vi_5s_hubert_mfcc_pitch,1,train_vi_5s,hubert,mfcc_pitch,film,3.939999999999999
train_vi_5s__hubert__mfbe_pitch,Mode3_film_train_vi_5s_hubert_mfbe_pitch,1,train_vi_5s,hubert,mfbe_pitch,film,4.220000000000001
train_vi_5s__hubert__mfcc_only,Mode3_film_train_vi_5s_hubert_mfcc_only,1,train_vi_5s,hubert,mfcc_only,film,4.500000000000002
train_vi_5s__hubert__mfbe_only,Mode3_film_train_vi_5s_hubert_mfbe_only,1,train_vi_5s,hubert,mfbe_only,film,4.220000000000001
train_vi_5s__hubert__pitch_only,Mode3_film_train_vi_5s_hubert_pitch_only,1,train_vi_5s,hubert,pitch_only,film,5.73
train_vi_7s__wav2vec2__mfcc_pitch,Mode3_film_train_vi_7s_wav2vec2_mfcc_pitch,1,train_vi_7s,wav2vec2,mfcc_pitch,film,4.090000000000002
train_vi_7s__wav2vec2__mfbe_pitch,Mode3_film_train_vi_7s_wav2vec2_mfbe_pitch,1,train_vi_7s,wav2vec2,mfbe_pitch,film,4.539999999999999
train_vi_7s__wav2vec2__mfcc_only,Mode3_film_train_vi_7s_wav2vec2_mfcc_only,1,train_vi_7s,wav2vec2,mfcc_only,film,4.130000000000001
train_vi_7s__wav2vec2__mfbe_only,Mode3_film_train_vi_7s_wav2vec2_mfbe_only,1,train_vi_7s,wav2vec2,mfbe_only,film,4.5200000000000005
train_vi_7s__wav2vec2__pitch_only,Mode3_film_train_vi_7s_wav2vec2_pitch_only,1,train_vi_7s,wav2vec2,pitch_only,film,7.499999999999998
train_vi_7s__wavlm__mfcc_pitch,Mode3_film_train_vi_7s_wavlm_mfcc_pitch,1,train_vi_7s,wavlm,mfcc_pitch,film,3.3800000000000026
train_vi_7s__wavlm__mfbe_pitch,Mode3_film_train_vi_7s_wavlm_mfbe_pitch,1,train_vi_7s,wavlm,mfbe_pitch,film,4.559999999999999
train_vi_7s__wavlm__mfcc_only,Mode3_film_train_vi_7s_wavlm_mfcc_only,1,train_vi_7s,wavlm,mfcc_only,film,3.8799999999999972
train_vi_7s__wavlm__mfbe_only,Mode3_film_train_vi_7s_wavlm_mfbe_only,1,train_vi_7s,wavlm,mfbe_only,film,5.710000000000002
train_vi_7s__wavlm__pitch_only,Mode3_film_train_vi_7s_wavlm_pitch_only,1,train_vi_7s,wavlm,pitch_only,film,6.479999999999999
train_vi_7s__hubert__mfcc_pitch,Mode3_film_train_vi_7s_hubert_mfcc_pitch,1,train_vi_7s,hubert,mfcc_pitch,film,3.0900000000000016
train_vi_7s__hubert__mfbe_pitch,Mode3_film_train_vi_7s_hubert_mfbe_pitch,1,train_vi_7s,hubert,mfbe_pitch,film,4.610000000000001
train_vi_7s__hubert__mfcc_only,Mode3_film_train_vi_7s_hubert_mfcc_only,1,train_vi_7s,hubert,mfcc_only,film,3.749999999999999
train_vi_7s__hubert__mfbe_only,Mode3_film_train_vi_7s_hubert_mfbe_only,1,train_vi_7s,hubert,mfbe_only,film,3.859999999999998
train_vi_7s__hubert__pitch_only,Mode3_film_train_vi_7s_hubert_pitch_only,1,train_vi_7s,hubert,pitch_only,film,6.05
